Gene,kTotal,Rank
Os01g0896700,96.9128888284112,121
Os07g0622100,96.8660236865734,122
Os12g0628400,96.7827232074175,123
Os11g0168100,96.6637820979169,124
Os01g0904400,96.5993585444924,125
Os05g0160800,96.5726151020442,126
Os03g0141000,96.5517932603369,127
Os11g0484300,96.2786833749739,128
Os09g0548200,96.1329069542703,129
Os12g0555600,96.1112501836969,130
Os09g0507800,95.8559113674879,131
Os01g0195200,95.7353885270527,132
Os03g0857500,95.5635784189652,133
Os03g0750300,95.5327197042286,134
Os08g0116500,95.2173696035957,135
Os05g0355500,95.128196512035,136
Os04g0576900,95.1185120900643,137
Os01g0174300,95.0386883368238,138
Os04g0473400,94.6537044907088,139
Os09g0485900,94.4475616802364,140
Os02g0529700,94.431505049464,141
Os02g0534800,94.4075736452656,142
Os08g0497300,94.0574195848326,143
Os03g0221500,94.003959682445,144
Os09g0338500,93.8031807472398,145
Os07g0105000,93.2788540555336,146
Os10g0147400,92.8051100153495,147
Os05g0497150,92.6832556517693,148
Os02g0639600,92.1365933449417,149
Os04g0501000,92.015853872753,150
Os08g0431300,91.7906521786981,151
Os09g0540600,91.4475830781224,152
Os08g0110700,91.2236583797691,153
Os03g0691500,91.181876799214,154
Os03g0288900,91.1235206029833,155
Os04g0689500,90.9072322864837,156
Os02g0558600,90.8608010168935,157
Os03g0798600,90.5816921357321,158
Os02g0739900,90.437368418732,159
Os03g0756000,90.3067639606193,160
Os03g0105600,90.1240855997138,161
Os02g0678400,89.9648532890475,162
Os01g0869300,89.8775117111407,163
Os01g0607900,89.6702122813525,164
Os05g0552300,89.4653672349758,165
Os11g0433900,88.5316446423942,166
Os09g0568800,88.0794031505224,167
Os02g0699700,88.0510949181703,168
Os06g0589500,87.8827573554102,169
Os01g0805900,87.4622615887705,170
Os02g0139000,87.1813551590122,171
Os02g0551100,87.1367047947233,172
Os03g0661300,87.122509843439,173
Os02g0653000,85.9597599207246,174
Os03g0736300,85.9411641291238,175
Os04g0613600,85.8686823010488,176
Os05g0119700,85.7585983043588,177
Os08g0530200,85.3984132415748,178
Os03g0232600,85.2314738807773,179
Os12g0605500,85.225726714732,180
Os08g0190700,85.2209916000378,181
Os10g0160100,85.100292168675,182
Os06g0104400,85.0380185592552,183
Os08g0117200,84.937219596295,184
