Gene,WGCNA_Modules, IntraModular Connectivity,
Os07g0628600,Turquoise,59.6962493474794,
Os03g0115000,Turquoise,59.6438876612853,
Os02g0783625,Blue,59.6373008385011,
Os01g0716200,Turquoise,59.5017575935105,
Os07g0622100,Yellow,59.3799570523544,
Os02g0534800,Yellow,59.3570077003402,
Os11g0181400,Turquoise,59.1122722691408,
Os10g0450000,Turquoise,59.104170203911,
Os06g0274200,Yellow,59.0944139971297,
Os05g0413200,Turquoise,58.9598692806004,
Os11g0655800,Blue,58.9319225525933,
Os08g0502400,Turquoise,58.848343099241,
Os02g0551100,Blue,58.7623555271005,
Os12g0533400,Turquoise,58.6775109946624,
Os06g0245800,Green,58.4943851934125,
Os06g0332800,Green,58.4859089362272,
Os12g0569200,Turquoise,58.4215326268714,
Os03g0358100,Blue,58.4081694336386,
Os09g0468900,Blue,58.2676413187097,
Os02g0100100,Turquoise,58.2110491308924,
Os03g0139100,Yellow,58.189067785352,
Os05g0477300,Yellow,58.1745018958934,
Os08g0493800,Turquoise,58.0949096835054,
Os10g0552800,Turquoise,58.0914504939681,
Os05g0319700,Turquoise,58.0123680987452,
Os03g0802900,Turquoise,57.9013299760956,
Os12g0167700,Turquoise,57.8397768387273,
Os07g0184300,Yellow,57.6590911888636,
Os02g0168100,Blue,57.6077186441436,
Os05g0516800,Turquoise,57.4687023367774,
Os02g0802200,Turquoise,57.3152621412737,
Os01g0616300,Turquoise,57.285403892739,
Os12g0484900,Turquoise,57.2445485174426,
Os09g0436600,Turquoise,57.1955486595518,
Os01g0798500,Green,57.1898636361567,
Os10g0371000,Turquoise,57.089723585997,
Os04g0412800,Turquoise,57.0479774287754,
Os07g0463400,Blue,57.0137928919313,
Os07g0690400,Turquoise,56.9255147659531,
Os05g0556900,Yellow,56.8107854599687,
Os01g0142100,Green,56.7904522180075,
Os03g0815400,Green,56.6683925074817,
Os01g0964133,Turquoise,56.6678682026664,
Os02g0792600,Turquoise,56.5662929861308,
Os01g0972900,Turquoise,56.5395353310214,
Os07g0139600,Yellow,56.5189482556853,
Os11g0141000,Blue,56.4433503304763,
Os03g0685000,Green,56.3902265182519,
Os05g0478300,Turquoise,56.1543082841609,
Os03g0788600,Turquoise,56.1437730609317,
Os06g0678800,Turquoise,56.1321963790718,
Os10g0100300,Green,56.0900119693436,
Os03g0264800,Turquoise,55.9908080387962,
Os01g0133200,Turquoise,55.9353469766565,
Os04g0472700,Turquoise,55.9257854676286,
Os07g0170100,Blue,55.9042071893089,
Os08g0191600,Blue,55.7872916864584,
Os11g0549650,Blue,55.5018510081818,
Os04g0623800,Turquoise,55.3315801684198,
Os01g0896200,Turquoise,55.2922611708886,
Os03g0134900,Turquoise,55.2685538315676,
Os06g0284200,Turquoise,55.2155039510567,
Os09g0482720,Blue,55.1866288428169,
Os10g0554900,Turquoise,55.1556476050571,
Os12g0183100,Blue,55.1553124184753,
Os04g0501000,Yellow,55.1073241762303,
Os07g0141400,Green,55.0478253986376,
Os01g0191100,Yellow,55.0136849125991,
Os03g0704000,Green,54.9431974261652,
Os09g0454300,Turquoise,54.9101353280729,
Os03g0638400,Blue,54.8925090951667,
Os05g0117798,Turquoise,54.8574521275389,
Os06g0140700,Turquoise,54.7596437948589,
Os10g0577000,Blue,54.7310867101104,
Os01g0616366,Turquoise,54.6156876038608,
Os02g0794400,Green,54.6090094577886,
Os04g0486500,Turquoise,54.597263105406,
Os07g0148800,Turquoise,54.5816936373044,
Os05g0510800,Turquoise,54.5536738770298,
Os06g0297600,Turquoise,54.545387632035,
Os10g0135600,Blue,54.5332647941892,
Os04g0588200,Turquoise,54.3532428344797,
Os04g0182800,Blue,54.3285366112806,
Os03g0652000,Turquoise,54.1916450260642,
Os12g0508300,Yellow,54.1806354884069,
Os11g0171300,Green,54.1688032893455,
Os07g0415200,Yellow,54.1655950583526,
Os03g0210500,Turquoise,54.1628541130463,
Os05g0548900,Turquoise,54.1464620182423,
Os03g0198500,Turquoise,54.0842890837006,
Os03g0336600,Blue,54.0147393935082,
Os04g0177300,Turquoise,53.9586282076982,
Os01g0773700,Green,53.8819201395036,
Os11g0605500,Blue,53.8758160261617,
Os11g0425300,Green,53.8517269137033,
Os01g0278900,Green,53.8070939248068,
Os03g0577000,Yellow,53.7464659147407,
