id,Label,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,
0,Os05g0104900,49.3007067934779,815,Blue,34.8077179286248,
1,Os05g0119300,26.5813497233661,2382,Black,14.7853503837402,
2,Os07g0603800,2.37798660879661,11094,Brown,1.78820157384694,
3,Os01g0785700,5.78675868785127,8419,Purple,3.45946683147159,
4,Os05g0218400,6.90056313679209,7761,royalBlue,1.77578233528909,
5,Os04g0169100,15.4152247346715,4504,Brown,11.5323095026172,
6,Os03g0250000,23.8470706416699,2771,GreenYellow,10.9474943238155,
7,Os03g0192550,10.6297539750859,6076,MidnightBlue,8.42117508203023,
8,Os04g0692400,5.02842266071625,8893,Brown,1.97185475228368,
9,Os02g0755900,34.0880563695331,1645,Blue,20.6847418861464,
10,Os01g0807800,3.0882288123654,10432,Black,1.13720379543261,
11,Os05g0456500,2.6296836469357,10837,Yellow,0.666429995657721,
12,Os01g0839100,45.9669091630118,952,Magenta,18.2657509886196,
13,Os03g0223000,38.9584409085474,1293,lightGreen,3.7111793998122,
14,Os04g0618200,52.7779920452639,708,lightYellow,11.0709040744343,
15,Os03g0599000,0.483648349395897,13236,Grey,0.036790983122427,
16,Os02g0590700,6.10497833445448,8218,royalBlue,2.21146107393032,
17,Os06g0692100,9.67130804868289,6424,Brown,6.56368711519379,
18,Os08g0307601,22.5839805249074,2959,Blue,17.0033671220235,
19,Os05g0561600,6.14978798248027,8187,lightYellow,3.13697429733424,
20,Os01g0327100,15.8569662160092,4390,Red,11.5024232245334,
21,Os01g0622500,1.5725574986759,11954,Salmon,0.692093653049714,
22,Os06g0597000,25.4327467002193,2537,GreenYellow,6.69156129686434,
23,Os02g0827200,23.3296398626558,2846,GreenYellow,7.99807943108383,
24,Os11g0244100,4.60819396101014,9194,Blue,2.54960238977836,
25,Os07g0573900,16.5034551580086,4220,Magenta,9.69850343706845,
26,Os01g0337500,8.81280813892126,6803,Red,2.554065745915,
27,Os06g0134800,16.4422801801785,4233,Tan,9.05117315404315,
28,Os01g0949800,3.40950624553636,10138,Brown,2.90717325125556,
29,Os01g0846400,23.3908307132832,2837,Black,9.08614973529481,
30,Os01g0270300,41.8874942879508,1149,Turquoise,27.5080919893301,
31,Os01g0666000,5.73986185041978,8445,GreenYellow,2.23967349656496,
32,Os08g0562300,8.52185571909195,6942,Brown,4.9621204965455,
33,Os02g0819500,5.58594819596388,8546,Black,1.10111837215096,
34,Os07g0483500,18.6450949001367,3694,Red,5.48710855528705,
35,Os06g0286400,6.19254363267214,8157,GreenYellow,3.02388144851253,
36,Os05g0502200,10.5347210794623,6118,GreenYellow,6.10995577791028,
37,Os07g0558100,20.7618451847234,3259,Magenta,14.4199396934076,
38,Os11g0592800,9.10568642761341,6668,Purple,5.50693413193313,
39,Os03g0386000,4.52484370062929,9249,Magenta,1.80305239926477,
40,Os05g0516700,8.80378671822498,6809,MidnightBlue,4.77982507698078,
41,Os02g0822000,6.38329127990242,8057,MidnightBlue,3.56691821834638,
42,Os08g0434100,10.6674140567804,6061,Magenta,8.0954199457508,
43,Os05g0452500,14.4384677995604,4772,Salmon,7.67027099210257,
44,Os01g0691050,0.970830206777444,12644,GreenYellow,0.567817747222492,
45,Os03g0227800,20.0452837394027,3408,Salmon,11.9777907380809,
46,Os03g0685300,5.80178012957563,8414,Magenta,3.43004818095079,
47,Os04g0655100,4.48186440064982,9286,Red,1.20117590781698,
48,Os09g0562600,1.33601029514541,12203,Magenta,0.358978040083312,
49,Os01g0772400,32.4430598853881,1775,Magenta,15.4502583313929,
50,Os09g0572400,21.3856995851276,3157,Blue,9.38746199140134,
51,Os04g0444300,7.76701212785916,7307,Brown,4.7614854897747,
52,Os03g0224200,41.6216743277943,1158,Black,22.0060721764957,
53,Os02g0100600,2.41932467967127,11052,Grey,0.511191365823413,
54,Os09g0322500,22.2068451644351,3015,Brown,19.0693413931823,
55,Os05g0387700,4.32613989015497,9422,Turquoise,2.27227249488641,
56,Os02g0125200,8.2839486016908,7057,Brown,2.44033587847201,
57,Os03g0205000,48.894883983647,837,Blue,36.1182585446499,
58,Os01g0616300,77.9818495470856,242,Turquoise,57.285403892739,
59,Os06g0505700,13.4688902510975,5078,Pink,4.35311938192529,
60,Os03g0722500,2.9341063294867,10554,Tan,1.61175298642489,
61,Os01g0285300,32.179028984035,1792,Turquoise,26.8842262072918,
62,Os01g0631700,50.5661273675743,776,Turquoise,29.2988700668487,
63,Os10g0492900,35.9766115095765,1502,Magenta,26.353007819528,
64,Os02g0753500,11.3360435494221,5817,GreenYellow,6.13813011412396,
65,Os01g0716500,1.87539368305533,11600,GreenYellow,0.665750620289131,
66,Os06g0320000,8.38762896093874,7010,GreenYellow,5.38280045463324,
67,Os08g0270800,5.1215816205128,8828,MidnightBlue,3.63839823037787,
68,Os02g0166200,10.4260216748015,6163,Salmon,7.65935451088332,
69,Os10g0580400,5.76189149544405,8434,Turquoise,3.86994123614785,
70,Os09g0394600,33.4373903517902,1681,Brown,22.089834705128,
71,Os10g0159700,16.6946419192628,4153,Turquoise,15.4731845402405,
72,Os07g0546200,12.1388882382096,5519,Cyan,2.81341494528479,
73,Os07g0639000,40.7487718545737,1194,Turquoise,27.5431102796968,
74,Os11g0618600,0.908500069846631,12723,Brown,0.612903089577569,
75,Os07g0227600,6.97607669585371,7714,Magenta,2.80418013016022,
76,Os11g0291475,3.96019862350168,9695,Brown,1.83337897125033,
77,Os01g0920200,7.0943425313665,7644,Blue,2.76149468474098,
78,Os03g0707200,17.6110852362818,3912,Red,14.1934738247032,
79,Os11g0531700,2.51246901641731,10950,royalBlue,0.574299815405094,
80,Os02g0778400,14.596371728397,4722,royalBlue,2.82962567488225,
81,Os06g0543200,1.33502914182461,12204,Tan,0.54954508860974,
82,Os04g0556500,6.10646627695083,8215,MidnightBlue,2.63310210716613,
83,Os05g0500200,0.456598140279765,13277,Magenta,0.207982860162869,
84,Os01g0935600,28.0123927209267,2212,Magenta,11.7434656244961,
85,Os12g0562100,5.92984645011838,8340,Salmon,2.24524828154779,
