Gene,kTotal,Rank
Os02g0205300,189.586466050547,177
Os08g0112500,189.336458581415,178
Os05g0119200,189.177968248007,179
Os02g0265900,189.147476260898,180
Os03g0109700,188.986433921007,181
Os10g0544500,188.757882296972,182
Os01g0614900,188.701049422709,183
Os08g0266300,188.545361369916,184
Os06g0288300,188.424115207505,185
Os02g0567100,188.18354452333,186
Os01g0221800,188.135546257597,187
Os12g0482500,188.134722224727,188
Os12g0498500,187.998425383558,189
Os01g0125800,187.879585733185,190
Os02g0763200,187.685515065235,191
Os12g0168700,187.492563071777,192
Os11g0451700,187.158249196953,193
Os02g0796700,186.777849149564,194
Os06g0562600,186.646320433457,195
Os01g0882500,186.576287701848,196
Os10g0505900,186.558709671687,197
Os07g0691200,186.421651140826,198
Os02g0813500,186.260025932821,199
Os10g0546600,186.193836468048,200
Os02g0189000,185.87969929257,201
Os03g0267300,185.433785992888,202
Os03g0390200,185.379917980207,203
Os03g0352300,185.375152964043,204
Os03g0644000,185.260801040145,205
Os01g0228500,185.197730560379,206
Os01g0945800,185.168414548232,207
Os01g0200000,185.156771689885,208
Os04g0275950,185.103520551909,209
Os04g0620700,185.032120518279,210
Os02g0125700,184.718507302132,211
Os11g0704800,184.659986136371,212
Os03g0811100,184.606859765116,213
Os07g0571500,184.591699218649,214
Os02g0254700,184.359603898554,215
Os06g0145600,184.312537937688,216
Os07g0247100,184.287900898515,217
Os01g0659200,183.93128531006,218
Os03g0818100,183.753409400664,219
Os06g0133800,183.582685719635,220
Os02g0257300,183.101441791773,221
Os02g0822600,182.7797780034,222
Os10g0181200,182.509215897649,223
Os01g0919700,182.124610019219,224
Os04g0508800,181.880208836973,225
Os02g0820700,181.445267778651,226
Os07g0176900,181.268854194588,227
Os05g0102900,181.152412913531,228
Os06g0681200,180.890808285993,229
Os09g0109600,180.820548776289,230
Os05g0339200,180.567288888149,231
Os06g0332800,180.251697778002,232
Os03g0826600,180.133519972953,233
Os03g0815400,180.103387719971,234
Os01g0102600,179.734543524581,235
Os09g0534800,179.663430405324,236
Os06g0693700,179.578059587919,237
Os02g0617600,179.508701428532,238
Os05g0546800,179.320799123003,239
Os03g0117800,178.805429418046,240
Os07g0657900,178.797133027017,241
Os01g0270100,178.749829306179,242
Os02g0677600,178.417568699549,243
Os06g0602800,178.381536216653,244
Os06g0694500,178.2216649887,245
Os06g0646000,178.131263332344,246
